    Student_ID,Age,Gender,Family_Income,Income_Bracket,Part_Time_Job,Scholarship,Parental_Education_Level,Financial_Stress_Index,Department,Academic_Year_Num,CGPA,Attendance_Rate,Low_Attendance_Flag,Study_Hours_per_Day,Assignment_Delay_Days,GPA_vs_Effort_Gap,Travel_Time_Minutes,Internet_Access,Stress_Index,Support_Access_Score,Academic_Risk_Score,Engagement_Score,Counseling_Priority_Score,Counseling_Urgency,Dropout
STU0001,22.1,Male,25000.0,Low,Yes,No,1,1.0,Arts,1,0.9,86.1,0,3.36,2,0.597,20.4,Yes,5.5,1,42.67,61.76,56.55,High,0
STU0002,20.7,Male,25000.0,Low,No,No,2,0.7,Engineering,3,1.19,68.0,1,4.3,2,0.725,44.0,Yes,6.8,1,45.2,57.94,55.39,High,1
STU0003,22.4,Male,40183.0,Middle,Yes,No,3,0.964,Arts,1,1.32,70.9,1,4.4,0,0.64,48.9,Yes,5.5,1,35.53,59.95,53.25,High,0
STU0004,24.4,Male,29740.5,Low,No,No,1,0.689,CS,1,1.77,82.2,0,4.0,2,0.012,38.6,Yes,5.5,1,35.14,63.37,47.08,High,1
STU0005,20.5,Female,25319.0,Low,No,No,2,0.699,Business,4,0.87,75.7,0,4.19,1,0.996,23.0,Yes,7.0,1,42.34,61.18,54.24,High,0
STU0006,20.5,Male,25000.0,Low,No,Yes,0,0.7,Business,3,2.69,89.1,0,4.11,2,-0.859,47.1,Yes,6.0,2,23.87,67.43,43.43,Moderate,0
STU0007,24.5,Male,25000.0,Low,Yes,Yes,2,1.0,CS,4,0.44,78.2,0,3.0,1,0.896,37.4,Yes,7.3,2,45.89,55.8,63.24,High,0
STU0008,22.7,Female,25000.0,Low,No,Yes,1,0.7,Arts,1,1.14,86.4,0,2.12,1,-0.196,34.0,Yes,6.5,2,36.43,55.0,51.57,High,0
STU0009,20.0,Male,57413.0,Middle,No,No,1,0.622,CS,1,2.81,97.5,0,4.07,3,-0.997,52.1,Yes,4.2,1,23.9,71.41,36.79,Moderate,0
STU0010,22.2,Female,44930.0,Middle,No,No,3,0.652,Science,1,1.73,82.2,0,2.98,1,-0.403,19.7,Yes,6.7,1,31.79,57.69,48.85,High,0
STU0011,20.0,Female,25000.0,Low,Yes,No,2,1.0,Business,3,1.46,73.9,1,5.27,3,0.887,39.3,Yes,7.2,1,44.48,66.29,60.85,High,1
STU0012,20.0,Male,46056.0,Middle,Yes,Yes,2,0.949,Engineering,2,0.15,85.2,0,2.37,6,0.906,20.2,Yes,8.0,2,65.44,55.8,71.79,Critical,1
STU0013,21.5,Female,50644.0,Middle,No,Yes,0,0.638,CS,4,2.72,84.3,0,3.54,1,-1.143,22.7,Yes,4.6,2,21.26,61.86,38.48,Moderate,0
